,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
0,1,GO-20141264862,1/1/2014 5:00:00 AM,1/1/2014 5:00:00 AM,2014,January,1,1,Wednesday ,23,2014.0,January,1.0,1.0,Wednesday ,23,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.2542411407459,43.7766362676131,-8822541.76702343,5430940.94632307
1,2,GO-20141260973,1/1/2014 5:00:00 AM,1/1/2014 5:00:00 AM,2014,January,1,1,Wednesday ,4,2014.0,January,1.0,1.0,Wednesday ,4,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,NSA,NSA,NSA,NSA,0.0,0.0,6.327780442533911e-09,5.6649236412909e-09
2,3,GO-20141269604,1/2/2014 5:00:00 AM,1/2/2014 5:00:00 AM,2014,January,2,2,Thursday  ,19,2014.0,January,2.0,2.0,Thursday  ,18,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,070,South Riverdale (70),070,South Riverdale (70),-79.3421558859404,43.6661424306938,-8832328.39167005,5413921.48203593
3,4,GO-20141267602,1/2/2014 5:00:00 AM,12/24/2013 5:00:00 AM,2014,January,2,2,Thursday  ,23,2013.0,December,24.0,358.0,Tuesday   ,2,D32,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,151,Yonge-Doris (151),051,Willowdale East (51),-79.4143728571015,43.7751522949519,-8840367.5481084,5430712.16049618
4,5,GO-20141270156,1/2/2014 5:00:00 AM,1/2/2014 5:00:00 AM,2014,January,2,2,Thursday  ,20,2014.0,January,2.0,2.0,Thursday  ,20,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,047,Don Valley Village (47),047,Don Valley Village (47),-79.343746456519,43.7758819156433,-8832505.45322384,5430824.64629674
5,6,GO-20141276966,1/3/2014 5:00:00 AM,1/3/2014 5:00:00 AM,2014,January,3,3,Friday    ,13,2014.0,January,3.0,3.0,Friday    ,12,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,055,Thorncliffe Park (55),055,Thorncliffe Park (55),-79.3466150216221,43.7032343898983,-8832824.78041895,5419631.29079007
6,7,GO-20141275836,1/3/2014 5:00:00 AM,12/31/2013 5:00:00 AM,2014,January,3,3,Friday    ,18,2013.0,December,31.0,365.0,Tuesday   ,11,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4187692270756,43.6544500994835,-8840856.94977814,5412122.33608399
7,8,GO-20141274610,1/3/2014 5:00:00 AM,1/3/2014 5:00:00 AM,2014,January,3,3,Friday    ,15,2014.0,January,3.0,3.0,Friday    ,14,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3824117428642,43.6517566908603,-8836809.65317274,5411707.94025203
8,9,GO-20141277440,1/4/2014 5:00:00 AM,1/1/2014 5:00:00 AM,2014,January,4,4,Saturday  ,0,2014.0,January,1.0,1.0,Wednesday ,2,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4187692270756,43.6544500994835,-8840856.94977814,5412122.33608399
9,10,GO-20141279197,1/4/2014 5:00:00 AM,1/3/2014 5:00:00 AM,2014,January,4,4,Saturday  ,9,2014.0,January,3.0,3.0,Friday    ,21,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,129,Agincourt North (129),129,Agincourt North (129),-79.270376433662,43.8071971576302,-8824337.93962399,5435653.81706413
10,11,GO-20141284673,1/5/2014 5:00:00 AM,1/5/2014 5:00:00 AM,2014,January,5,5,Sunday    ,6,2014.0,January,5.0,5.0,Sunday    ,6,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),-79.3331573621976,43.7604327169569,-8831326.68056048,5428443.13358104
11,12,GO-20141293398,1/6/2014 5:00:00 AM,12/17/2013 5:00:00 AM,2014,January,6,6,Monday    ,19,2013.0,December,17.0,351.0,Tuesday   ,12,D22,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.502621715766,43.6263327083827,-8850191.36615537,5407797.23405039
